created_at,entry_id,field1,latitude,longitude,elevation,status
2024-06-06T09:02:46+00:00,1,0.00073,,,,
2024-06-06T09:03:09+00:00,2,0.02812,,,,
2024-06-06T09:03:31+00:00,3,0.02888,,,,
2024-06-06T09:03:52+00:00,4,0.08297,,,,
2024-06-06T09:04:15+00:00,5,0.01869,,,,
2024-06-06T09:04:36+00:00,6,0.01020,,,,
2024-06-06T09:04:58+00:00,7,0.05947,,,,
2024-06-06T09:05:21+00:00,8,0.00038,,,,
2024-06-06T09:05:42+00:00,9,0.13440,,,,
2024-06-06T09:06:05+00:00,10,0.00163,,,,
2024-06-06T09:06:28+00:00,11,0.10039,,,,
2024-06-06T09:06:50+00:00,12,0.08157,,,,
2024-06-06T09:07:13+00:00,13,0.07645,,,,
2024-06-06T09:07:34+00:00,14,0.00071,,,,
2024-06-06T09:07:57+00:00,15,0.01699,,,,
2024-06-06T09:08:19+00:00,16,0.00013,,,,
2024-06-06T09:08:41+00:00,17,0.03844,,,,
2024-06-06T09:09:03+00:00,18,0.00082,,,,
2024-06-06T09:09:25+00:00,19,0.04927,,,,
2024-06-06T09:09:47+00:00,20,0.00079,,,,
2024-06-06T09:10:09+00:00,21,0.00019,,,,
2024-06-06T09:10:31+00:00,22,0.00004,,,,
2024-06-06T09:10:53+00:00,23,0.18667,,,,
2024-06-06T09:11:15+00:00,24,0.06361,,,,
2024-06-06T09:11:37+00:00,25,0.06117,,,,
2024-06-06T09:11:59+00:00,26,0.02209,,,,
2024-06-06T09:12:21+00:00,27,0.03228,,,,
2024-06-06T09:12:43+00:00,28,0.09640,,,,
2024-06-06T09:13:05+00:00,29,0.08916,,,,
2024-06-06T09:13:27+00:00,30,0.00257,,,,
2024-06-06T09:13:49+00:00,31,0.00681,,,,
2024-06-06T09:14:11+00:00,32,0.05191,,,,
2024-06-06T09:14:33+00:00,33,0.07066,,,,
2024-06-06T09:14:55+00:00,34,0.14206,,,,
2024-06-06T09:15:17+00:00,35,0.00246,,,,
2024-06-06T09:15:40+00:00,36,0.02718,,,,
2024-06-06T09:16:02+00:00,37,0.03159,,,,
2024-06-06T09:16:24+00:00,38,0.01190,,,,
2024-06-06T09:16:46+00:00,39,0.08494,,,,
