Index,Measurement (mm)
0,24.584555258093843
1,26.063109439713866
2,24.899859293893364
3,26.296921292792224
4,25.794425535056227
5,25.86398025729305
6,25.10981578036239
7,26.931499468084453
8,26.376539808148394
9,26.111997574935945
10,27.001586585210763
11,27.274515458792465
12,27.810988574916486
13,26.877332136776538
14,28.05937006092387
15,27.653616477737238
16,28.225205351818953
17,28.13169985234911
18,27.165155377408833
19,27.389903983280874
20,29.086734961888737
21,29.14898915728313
22,28.124430790600883
23,28.176275445115508
24,29.86457350779475
25,28.312775029263715
26,29.178484658226328
27,29.38208360374294
28,30.695131654037873
29,30.83820694949878
30,30.182639728516648
31,29.61060048475537
32,29.995787178077613
33,31.240058510848023
34,30.268524703997127
35,30.37627394300891
36,30.768799050035728
37,31.94657108449111
38,32.35423560727941
39,31.931916455852694
40,31.754110671010615
41,32.83001881843163
42,32.60792285346973
43,33.13673139251097
44,32.416689600806166
45,33.24124381657301
46,32.630949174291054
47,33.65879125085497
48,34.17783944518858
49,33.345793656191155
50,32.599509390867155
51,33.38662956103016
52,34.8020077936662
53,34.771175964852304
54,34.061074395474094
55,35.342819148668156
56,34.132895353807676
57,33.81246093245228
58,35.46317705368613
59,35.7804853530204
60,35.67290631738147
61,36.39596632095355
62,35.95247089128854
63,35.313126613527224
64,35.15708880718157
65,36.85334658788714
66,36.80899038832176
67,36.05671198626691
68,35.81892888107608
69,37.70387836216434
70,36.39762198561724
71,37.98446970214592
72,37.263251863337835
73,36.983998847740104
74,37.05095308402098
75,38.311299371212264
76,37.557741729751086
77,38.25208186273104
78,38.33780303324036
79,37.97191568173618
80,38.21139900622654
81,38.0509264024441
82,39.81105280906724
83,40.03900970258591
84,39.335522939249394
85,39.831637160134555
86,40.58432956343041
87,39.469393729700194
88,39.699829356528284
89,40.82882582398653
90,39.958479930596994
91,40.65316351989659
92,39.83264515017852
93,39.97218606324715
94,42.065588146853976
95,42.10061927784604
96,41.5459506891004
97,41.07657176222548
98,41.06688684459888
99,42.75647604372798
