Index,Measurement (mm)
0,43.29835619235097
1,42.64742045456365
2,42.626826116963436
3,42.27471328867209
4,43.608671312420846
5,42.5246848746053
6,42.03920428655637
7,42.41876258549519
8,42.51365128085818
9,43.14691028201067
10,43.47979983358579
11,42.56131073827469
12,43.09578186921265
13,42.009299998873516
14,42.900316210443336
15,43.75071814484396
16,41.997856822956
17,42.59869940753492
18,43.53674186956944
19,43.602196679949515
20,43.20599449423198
21,42.88531358219573
22,42.61463058897309
23,43.16276642406807
24,43.504133274886016
25,42.92598679764843
26,43.34596818930148
27,42.596951498989164
28,42.347872349412334
29,42.7934125350705
30,42.31749261208058
31,42.643870966803796
32,42.5500660236792
33,43.05684397464555
34,41.94140062887098
35,42.23190401744108
36,42.56963134295645
37,42.68478385435813
38,42.95184245009736
39,42.46402812256929
40,42.37574904157093
41,41.96079333411099
42,41.792200466649426
43,42.217117144657024
44,42.29163788354852
45,42.880814071492026
46,42.744416978006555
47,43.217165649247114
48,42.148008800017806
49,43.36391300737388
50,42.60468191560041
51,42.33793734386032
52,41.58711733948956
53,42.51216398114938
54,42.012193091391815
55,42.282852867855205
56,41.744897337797205
57,42.842695030014575
58,41.7227420317086
59,41.577967735193496
60,42.177447514713826
61,42.03247227234968
62,43.372616392581364
63,42.70164977393235
64,43.050166480447416
65,43.163215891069626
66,41.90632074560712
67,42.70320257280192
68,42.09542144479979
69,43.22811104683776
70,41.51849055546774
71,42.13259411146787
72,42.476222980252075
73,42.85459149904635
74,41.69729869819011
75,42.14290009574965
76,42.82186733768569
77,41.753605218947875
78,41.54064995766375
79,43.00776294451083
80,41.277179161381085
81,41.47788602391986
82,41.73235527940475
83,41.69034151794259
84,42.079234296882454
85,41.75689089041525
86,42.640519805409724
87,41.159053682299444
88,42.708377153051416
89,41.44471583864281
90,42.02377286025766
91,41.302095180174135
92,41.962679401801424
93,41.75707173710022
94,42.875840558474316
95,41.14827553963047
96,41.62899545503135
97,41.16268251077583
98,42.278433664667574
99,42.577936476628395
