Index,Measurement (mm)
0,41.46246783479214
1,42.621840516535514
2,41.766424454563165
3,42.56425329911112
4,41.14543148059755
5,42.166676836811135
6,42.63959100812823
7,41.45077811123223
8,41.76202504229699
9,41.5496723291391
10,42.59854232085902
11,42.974600177595704
12,42.881335234263105
13,41.79397244339124
14,41.35919958512897
15,42.595862353136035
16,41.884568452563954
17,41.52920970350787
18,42.150997497756514
19,41.58078964204962
20,41.663339097615676
21,41.79434147531333
22,43.092459200514355
23,41.623132990490596
24,41.605693083380864
25,42.866169297173414
26,42.93691350668084
27,41.990425881874714
28,41.45612797845497
29,42.82734269039575
30,42.999212345584496
31,42.53044917979272
32,42.64729657218342
33,43.29619839450294
34,41.76746054063878
35,42.210541624414056
36,42.91040706032205
37,42.32735925764119
38,42.377703125741455
39,41.46135065460596
40,43.09795677941174
41,43.13848886113529
42,42.46879100478763
43,42.72750363140714
44,41.85257829668304
45,42.709543237498394
46,41.65982864007318
47,41.50667848160752
48,43.00592877438156
49,43.17463719482907
50,43.43416800441574
51,41.9161221292557
52,41.61238980653955
53,41.75995092615102
54,43.24584576836867
55,42.04448095658861
56,42.95534464292879
57,41.60699112848299
58,41.72028183204318
59,42.36426899128643
60,42.94232556415723
61,42.36564395677941
62,42.35373809580929
63,43.391104669260116
64,42.63555987375265
65,43.35764980717794
66,42.42933330141094
67,43.65324841822892
68,41.84611649708184
69,43.26892131403157
70,43.64787875893072
71,42.91037908324729
72,43.05341423170903
73,42.50111584620553
74,42.571809232268826
75,43.599932000317175
76,42.72842640078139
77,42.25216720137765
78,42.49094425579754
79,43.67368848333425
80,43.04785979826362
81,42.89716960890567
82,43.45801996503936
83,42.12620406363228
84,42.574400577214405
85,42.48568367323013
86,42.39497679724366
87,42.048155283045524
88,43.48751028871422
89,43.25369377287238
90,42.72001853872292
91,42.488963578502855
92,42.317332143166375
93,42.61935430137181
94,42.374869940456584
95,42.60523267668371
96,42.17621046003676
97,43.26548357352089
98,42.607266875038896
99,42.52289927634964
